Sample Number	User	Session ID	Timestamp	X Original	Y Original	X Scaled	Y Scaled	Scaled Image Width	Small Window	Medium Window	Large Window	Border	Leaf	Stem	Stipule	Asdf	Asdf	Asdf	Asdfa	Sdfas	Dfas	Dfasd	Fasd	Fasd	Fasd	Fasd	Fas	Dfas	Dfa	Sdf	Asdf	Asdf	Asd	Fas	Dfa	Sdf	Asdf	Asdf	Asdf	As	Dfa	Sdf	Asdf	Asdf	Asdf	Asd	Fas	Dfa	Sdf	Asdf	Asdf	Asd	Fa	Sdfa	Sdf	Asdf	Asd	Fa	Sdf	Asdf	asdf	Attribute Number	Species	Image File
1	David	Phase6	1663271406205	2298	2443	0.5986206896551725	0.4241379310344828	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
2	David	Phase6	1663271483546	2130	2313	0.5548275862068965	0.40160919540229884	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
3	David	Phase6	1663271493120	1714	2188	0.44655172413793104	0.38	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
4	David	Phase6	1663271500083	3350	1929	0.8724137931034482	0.3349425287356322	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
5	David	Phase6	1663271504158	499	2032	0.13	0.3528735632183908	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
6	David	Phase6	1663271516455	1896	4311	0.49379310344827587	0.7485057471264368	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Passiflora_auriculata	Passiflora_auriculata_8abc61a4-5c6c-4e00-b076-d8d39e95e828.jpg
7	David	Phase6	1663271623937	4301	2758	0.6142147734326505	0.3041706615532119	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
8	David	Phase6	1663271628658	5680	2532	0.8109869646182495	0.2792425695110259	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
9	David	Phase6	1663271632850	2738	3360	0.39106145251396646	0.37056567593480344	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
10	David	Phase6	1663271636420	2060	3669	0.2942271880819367	0.4046021093000959	2900	5	30	726	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Passiflora_lutea	Passiflora_lutea_034af037-a30b-4ce5-9182-2a0297a63692.jpg
